id,product_name,category,subcategory,slug,primary_query,secondary_query,visual_notes,target_filename
001,Custom Vinyl Die-Cut Stickers,Stickers,Die-Cut Stickers,vinyl-die-cut-stickers,vinyl die cut sticker mockup,custom vinyl decal closeup,Look for a die-cut shaped sticker peeling off backing paper,vinyl-die-cut-stickers.webp
002,Holographic Die-Cut Stickers,Stickers,Die-Cut Stickers,holographic-die-cut-stickers,holographic sticker rainbow,holographic vinyl decal,Needs visible rainbow/prismatic shimmer effect,holographic-die-cut-stickers.webp
003,Custom Sticker Sheets,Stickers,Sticker Sheets,custom-sticker-sheets,sticker sheet flat lay,kiss cut sticker sheet,"Multiple small stickers on one sheet, flat lay shot",custom-sticker-sheets.webp
004,Matte Product Labels,Labels,Product Labels,matte-product-labels,matte product label jar,cosmetic bottle label mockup,Candle jar or cosmetic bottle with plain label,matte-product-labels.webp
005,Weatherproof Vinyl Labels,Labels,Product Labels,weatherproof-vinyl-labels,waterproof label bottle outdoor,vinyl label water droplets,Emphasize water-resistant/outdoor context,weatherproof-vinyl-labels.webp
006,Custom Packaging Labels,Labels,Packaging Labels,custom-packaging-labels,packaging label box closeup,shipping label mailer box,Label applied to a shipping box or pouch,custom-packaging-labels.webp
007,Corrugated Mailer Boxes,Boxes & Packaging,Mailer Boxes,corrugated-mailer-boxes,corrugated mailer box open,cardboard shipping box ecommerce,"Tuck-lock corrugated box, open flap",corrugated-mailer-boxes.webp
008,Kraft Mailer Boxes,Boxes & Packaging,Mailer Boxes,kraft-mailer-boxes,kraft mailer box brown,eco packaging box brown,Plain uncoated kraft brown box,kraft-mailer-boxes.webp
009,Rigid Gift Boxes,Boxes & Packaging,Rigid Boxes,rigid-gift-boxes,rigid gift box lid,luxury gift box unboxing,"Two-piece box with lid off, premium unboxing feel",rigid-gift-boxes.webp
010,Standard Matte Business Cards,Business Cards,Standard Cards,standard-matte-business-cards,matte business card mockup,business card stack table,"Plain matte finish, stack or single card mockup",standard-matte-business-cards.webp
011,Premium Suede Business Cards,Business Cards,Premium Cards,premium-suede-business-cards,soft touch business card mockup,velvet business card closeup,"Thick card, soft-touch texture visible",premium-suede-business-cards.webp
012,Letterpress Cotton Business Cards,Business Cards,Premium Cards,letterpress-cotton-business-cards,letterpress business card deboss,cotton paper business card,Deboss/emboss texture visible under light,letterpress-cotton-business-cards.webp
013,Vinyl Outdoor Banners,Banners & Signage,Vinyl Banners,vinyl-outdoor-banners,vinyl banner storefront outdoor,grommet banner display,Large outdoor vinyl banner with grommets,vinyl-outdoor-banners.webp
014,Mesh Windproof Banners,Banners & Signage,Mesh Banners,mesh-windproof-banners,mesh banner fence outdoor,perforated vinyl banner fence,"Fence-mounted mesh banner, visible perforation",mesh-windproof-banners.webp
015,Retractable Banner Stands,Banners & Signage,,retractable-banner-stands,roll up banner stand exhibition,retractable banner display booth,Standing roll-up banner at an event/booth,retractable-banner-stands.webp
